aaa,9950800,9336,216,323
aab,9953290,8896,10,28
aac,9989843,8984,88,185
aad,9807802,9441,369,579
aae,9845115,7110,96,168
aaf,9884265,8095,286,438
aag,9898283,8437,18,53
aba,9999224,8865,272,460
abb,9876755,8981,204,378
abc,9826014,8863,25,65
abd,9947541,8263,6,17
abe,9848894,7891,139,291
abf,9667881,8361,131,241
abg,9923611,9215,434,656
aca,9908068,8067,31,91
acb,9504643,10578,176,286
acc,9838944,8019,88,171
acd,9965124,7346,117,225
ace,9763570,9563,15,34
acf,9861981,9423,109,175
acg,9954788,8664,56,165
ada,9776399,8440,64,159
adb,9787135,10363,82,126
adc,9950590,8065,9,18
add,9488908,8069,26,61
ade,9260253,8695,142,278
adf,9823544,8510,100,183
adg,9892492,8466,38,49
aea,9372106,9731,195,449
aeb,9852838,7630,197,326
aec,9809972,9024,28,66
aed,9987210,7085,29,51
aee,9989655,9242,23,69
aef,9930645,9562,49,198
aeg,9882766,8388,364,678
afa,9875799,7745,181,264
afb,9981662,10345,488,991
afc,9534512,7040,38,112
afd,9780560,8693,14,42
afe,9964525,7859,170,271
aff,9887422,8170,83,197
afg,9832992,9604,198,276
aga,9937532,7942,204,354
agb,9871317,10006,175,301
agc,9248071,9678,86,165
agd,9274139,10297,33,72
age,9808119,8934,212,297
agf,9902166,8963,70,127
agg,9991310,7862,49,78
baa,9824414,9312,22,54
bab,9745687,8085,43,75
bac,9954623,10345,5,5
bad,9700320,9259,165,352
bae,9831039,8537,345,611
baf,9995809,10240,12,34
bag,9673273,9530,77,272
bba,9953511,7735,107,274
bbb,9786268,8599,322,464
bbc,9857814,9279,12,36
bbd,9863289,9123,202,359
bbe,9826180,10109,122,290
bbf,9793647,10042,118,175
bbg,9506518,8819,136,232
bca,9924436,7163,48,150
bcb,9865611,8610,14,36
bcc,9830917,8413,143,263
bcd,9828251,9850,81,270
bce,9982330,9258,152,338
bcf,9770473,7866,104,244
bcg,9934551,9544,75,174
bda,9836225,8729,31,80
bdb,9706073,7179,123,200
bdc,9912000,8512,116,240
bdd,9889328,8665,46,65
bde,9876143,8385,51,107
bdf,9538594,8691,170,311
bdg,9938498,8075,31,148
bea,9984238,8411,71,226
beb,9973193,8496,137,271
bec,9801987,8309,127,229
bed,9785115,11011,227,340
bee,9826699,9450,199,349
bef,9533725,7792,363,882
beg,9994331,8562,191,274
bfa,9757812,9030,426,911
bfb,9531713,8756,308,503
bfc,9953104,9285,160,242
bfd,9886544,8345,126,286
bfe,9951798,8639,188,338
bff,9975189,7709,127,273
bfg,9995536,8672,100,247
bga,9977489,7982,50,105
bgb,9567958,9461,140,296
bgc,9855192,8884,51,74
bgd,9784670,8800,94,198
bge,9877720,9706,195,336
bgf,9998490,9292,75,100
bgg,9993636,7102,156,221
caa,9622336,9649,76,241
cab,9843391,8402,94,298
cac,9947285,11661,204,312
cad,9949528,8689,89,251
cae,9449992,10033,17,59
caf,9979047,8137,132,250
cag,9773590,9149,112,177
cba,9991248,7696,41,86
cbb,9950388,8348,317,567
cbc,9575851,9421,140,206
cbd,9976271,8433,178,226
cbe,9962479,7607,106,141
cbf,9645924,8251,253,365
cbg,9838009,9290,208,370
cca,9751820,7240,88,138
ccb,9931573,8629,265,470
ccc,9916761,9038,105,284
ccd,9949991,7797,135,183
cce,9945032,9562,596,1345
ccf,9990068,10046,88,191
ccg,9975012,8979,34,122
cda,9936549,7955,168,264
cdb,9796651,10009,55,110
cdc,9556202,8648,150,245
cdd,9935614,8830,69,130
cde,9968143,9331,136,261
cdf,9580739,11835,45,240
cdg,9923527,9840,113,286
cea,9790661,8864,115,228
ceb,9875364,8673,119,262
cec,9970984,9028,98,184
ced,9777902,9531,23,72
cee,9888911,11333,15,39
cef,9748888,8900,184,344
ceg,9769718,8110,14,61
cfa,9984589,9934,342,492
cfb,9805680,8109,80,291
cfc,9984157,10598,18,39
cfd,9806123,8209,79,140
cfe,9843698,9570,184,294
cff,9947456,7626,138,258
cfg,9888456,7807,13,47
cga,9950081,8010,190,287
cgb,9801528,10138,100,158
cgc,9997762,8232,508,756
cgd,9896548,8332,130,205
cge,9851656,10021,96,139
cgf,9878170,9099,28,132
cgg,9967884,7895,348,490
daa,9852539,9741,323,607
dab,9580353,9624,173,328
dac,9948707,9323,45,170
dad,9966575,9620,22,48
dae,9855086,8757,99,177
daf,9879229,9229,67,117
dag,9605811,8897,217,447
dba,9963351,8835,11,25
dbb,9832480,9311,122,299
dbc,9983484,7800,68,158
dbd,9978278,8185,27,53
dbe,9607379,11247,312,496
dbf,9860815,9288,56,112
dbg,9943012,8271,101,276
dca,9879292,7762,7,13
dcb,9898348,8164,367,562
dcc,9735424,8244,91,148
dcd,9707249,8332,147,271
dce,9971082,9130,164,235
dcf,9945131,9471,30,57
dcg,9956281,8551,10,22
dda,9984322,7356,101,299
ddb,9847365,8388,384,682
ddc,9558594,7737,9,26
ddd,9878867,8890,243,337
dde,9978490,8347,257,491
ddf,9966807,9243,12,47
ddg,9828864,10516,37,146
dea,9981713,10292,241,478
deb,9649930,9747,33,53
dec,9964306,8326,324,454
ded,9993406,8886,107,219
dee,9975261,8124,145,264
def,9878544,8509,181,349
deg,9850260,7699,36,82
dfa,9910165,7461,35,109
dfb,9810341,9762,5,7
dfc,9354379,9429,14,41
dfd,9878579,9494,29,60
dfe,9988358,7359,159,303
dff,9832504,8506,202,349
dfg,9632320,10070,90,341
dga,9920719,9063,69,187
dgb,9829515,8227,205,284
dgc,9973001,9181,90,184
dgd,9956291,8463,50,77
dge,9848410,7727,88,115
dgf,9991019,9130,23,41
dgg,9997945,8911,112,259
eaa,9650807,8976,95,271
eab,9986735,7393,48,90
eac,9808756,9444,107,255
ead,9886019,8873,94,188
eae,9972899,9693,102,163
eaf,9984918,9576,117,280
eag,9714043,9254,268,436
eba,9975705,9566,100,175
ebb,9833231,9743,20,80
ebc,9973557,11563,144,249
ebd,9913931,8903,102,194
ebe,9314764,9413,42,196
ebf,9908366,10739,205,319
ebg,9470301,9882,215,327
eca,9972526,9037,288,438
ecb,9990544,8262,48,166
ecc,9975079,8214,19,70
ecd,9869528,10011,25,47
ece,9793724,9416,136,189
ecf,9804682,9591,5,10
ecg,9679740,8697,149,209
eda,9808471,9966,87,173
edb,9941231,10405,201,355
edc,9902523,7293,57,191
edd,9974023,8431,211,302
ede,9170202,8565,107,146
edf,9802253,8857,35,92
edg,9925883,7558,123,246
eea,9800879,8267,37,102
eeb,9798809,8783,10,31
eec,9919368,9416,16,71
eed,9986731,10078,277,586
eee,9978154,7743,326,680
eef,9986239,9598,272,400
eeg,9992779,8857,67,130
efa,9749740,9253,181,376
efb,9951019,9262,187,263
efc,9873715,9122,140,182
efd,9896944,9291,305,658
efe,9850058,8371,75,133
eff,9954200,9137,180,305
efg,9191236,10790,108,264
ega,9512829,8805,160,300
egb,9670615,8120,102,195
egc,9992733,8513,173,338
egd,9656874,9255,42,105
ege,9611906,8659,65,135
egf,9966480,8444,8,24
egg,9990365,8996,243,407
faa,9872450,9802,75,153
fab,9594625,10175,57,226
fac,9749683,8055,6,9
fad,9938812,8473,113,278
fae,9232671,10598,59,300
faf,9945454,9737,124,217
fag,9875895,9006,24,34
fba,9895192,9947,58,149
fbb,9879983,6724,72,116
fbc,9666593,9084,127,182
fbd,9949426,7718,221,440
fbe,9931186,10186,28,68
fbf,9940466,9435,186,361
fbg,9671793,10268,139,269
fca,9865051,9714,7,14
fcb,9859695,9389,88,218
fcc,9936735,8323,15,39
fcd,9548011,7842,108,185
fce,9852938,7923,85,232
fcf,9968561,8371,14,37
fcg,9907778,10807,14,35
fda,9896581,10650,68,197
fdb,9521119,9076,285,431
fdc,9443313,10454,62,154
fdd,9990073,8436,9,27
fde,9952344,8868,114,196
fdf,9727073,9375,42,165
fdg,9992342,8890,145,318
fea,9849987,8496,189,379
feb,9810248,7859,186,362
fec,9808760,9210,55,222
fed,9612109,9119,239,328
fee,9981570,10137,204,305
fef,9888078,8966,31,132
feg,9824752,8559,92,204
ffa,9637363,10709,57,115
ffb,9966873,9294,67,120
ffc,9650413,9439,142,282
ffd,9920941,8790,164,332
ffe,9522917,8891,13,23
fff,9832186,9457,317,522
ffg,9396741,8549,161,309
fga,9754246,9177,84,135
fgb,9923703,8972,178,314
fgc,9672725,9892,124,212
fgd,9746203,8315,14,26
fge,9898451,7540,172,254
fgf,9325897,8491,103,190
fgg,9771680,8384,66,117
gaa,9997466,8727,16,28
gab,9768302,8404,324,457
gac,9897833,9021,14,39
gad,9975912,7859,138,231
gae,9874195,9240,271,516
gaf,9888807,8581,139,254
gag,9979666,9331,7,15
gba,9730450,10337,6,17
gbb,9488803,9439,43,105
gbc,9922241,10490,205,464
gbd,9777986,9403,277,442
gbe,9880538,7351,178,290
gbf,9893449,9538,58,221
gbg,9741963,10675,20,72
gca,9945183,8484,192,407
gcb,9955539,8915,105,202
gcc,9616841,9039,35,74
gcd,9829445,9287,982,3183
gce,9837823,7804,450,849
gcf,9897070,10355,111,188
gcg,9988716,8084,59,136
gda,9955423,9428,82,146
gdb,9961890,9809,100,190
gdc,9994163,7981,10,17
gdd,9553490,9719,128,204
gde,9962476,10563,7,20
gdf,9963312,9042,189,303
gdg,9922089,9339,107,220
gea,9704811,9169,30,146
geb,9831122,9303,278,464
gec,9729794,8233,186,360
ged,9956401,8224,257,411
gee,9993893,8537,176,304
gef,9464423,9360,97,152
geg,9987085,8807,130,272
gfa,9810508,8566,147,215
gfb,9824128,9752,58,158
gfc,9893385,8940,17,45
gfd,9827528,10336,91,190
gfe,9715254,9185,109,259
gff,9980833,10451,333,501
gfg,9915934,9523,66,151
gga,9979469,9116,247,331
ggb,9858285,9247,96,156
ggc,9998017,8089,153,246
ggd,9992610,9106,13,32
gge,9855481,9419,118,312
ggf,9902234,9068,24,38
ggg,9944675,8732,168,307
